year,month,month_name,Total_Usage,Avg_Usage,Record_Count
2019,1,January,101305.6,102.33,990
2019,2,February,87276.4,97.95,891
2019,3,March,99833.6,100.84,990
2019,4,April,103150.8,107.79,957
2019,5,May,101728.0,102.76,990
2019,6,June,96775.6,101.12,957
2019,7,July,118600.3,99.83,1188
2019,8,August,105273.9,106.34,990
2019,9,September,102346.7,106.95,957
2019,10,October,102442.6,103.48,990
2019,11,November,93288.9,97.48,957
2019,12,December,104182.9,105.24,990
2020,1,January,85319.2,107.73,792
2020,2,February,76385.4,105.21,726
2020,3,March,77012.1,97.24,792
2020,4,April,78242.3,103.09,759
2020,5,May,53559.3,101.44,528
2020,6,June,15661.2,94.92,165
2020,7,July,17130.7,103.82,165
2020,8,August,18134.4,109.91,165
2020,9,September,17178.4,104.11,165
2020,10,October,18536.6,112.34,165
2020,11,November,18082.0,109.59,165
2020,12,December,18281.0,110.79,165
