States,Regions,year,Total_Usage,Avg_Usage,Min_Usage,Max_Usage,Record_Count
Andhra Pradesh,SR,2019,63097.0,175.76,142.2,205.1,359
Andhra Pradesh,SR,2020,25507.4,177.13,130.6,205.0,144
Arunachal Pradesh,NER,2019,754.0,2.1,1.1,2.6,359
Arunachal Pradesh,NER,2020,306.9,2.13,1.3,2.7,144
Assam,NER,2019,8979.4,25.01,14.3,38.0,359
Assam,NER,2020,3575.5,24.83,12.2,36.1,144
Bihar,ER,2019,30007.9,83.59,43.5,117.9,359
Bihar,ER,2020,11821.3,82.09,52.5,121.4,144
Chandigarh,NR,2019,1472.4,4.1,2.2,6.8,359
Chandigarh,NR,2020,610.8,4.24,2.2,7.4,144
Chhattisgarh,WR,2019,30179.9,84.07,37.2,111.6,359
Chhattisgarh,WR,2020,12010.3,83.4,65.6,103.0,144
DNH,WR,2019,5845.4,16.28,1.3,19.4,359
DNH,WR,2020,2419.2,16.8,1.8,19.5,144
Delhi,NR,2019,29458.3,82.06,41.8,139.1,359
Delhi,NR,2020,12482.2,86.68,44.3,147.1,144
Goa,WR,2019,4006.5,11.16,6.2,14.0,359
Goa,WR,2020,1573.4,10.93,6.6,13.7,144
Gujarat,WR,2019,115357.4,321.33,192.3,398.0,359
Gujarat,WR,2020,47131.5,327.3,231.4,400.8,144
HP,NR,2019,9490.8,26.44,11.8,34.0,359
HP,NR,2020,3873.0,26.9,11.9,31.8,144
Haryana,NR,2019,48995.0,136.48,64.8,224.5,359
Haryana,NR,2020,20586.8,142.96,69.1,237.2,144
J&K,NR,2019,15915.3,44.33,30.1,54.1,359
J&K,NR,2020,6349.5,44.09,17.8,54.2,144
Jharkhand,ER,2019,8605.5,23.97,17.4,28.9,359
Jharkhand,ER,2020,3387.3,23.52,17.7,28.9,144
Karnataka,SR,2019,73076.9,203.56,121.0,273.3,359
Karnataka,SR,2020,29588.8,205.48,136.3,259.2,144
Kerala,SR,2019,25798.2,71.86,55.0,89.4,359
Kerala,SR,2020,10514.6,73.02,59.8,88.6,144
MP,WR,2019,74974.6,208.84,131.8,272.3,359
MP,WR,2020,29791.8,206.89,154.9,270.1,144
Maharashtra,WR,2019,154916.7,431.52,305.6,522.1,359
Maharashtra,WR,2020,62163.1,431.69,367.1,504.1,144
Manipur,NER,2019,894.6,2.49,1.5,3.2,359
Manipur,NER,2020,360.2,2.5,2.1,3.0,144
Meghalaya,NER,2019,2018.1,5.62,3.4,6.8,359
Meghalaya,NER,2020,820.7,5.7,3.3,6.9,144
Mizoram,NER,2019,614.3,1.71,1.3,2.2,359
Mizoram,NER,2020,244.0,1.69,1.2,2.1,144
Nagaland,NER,2019,776.8,2.16,1.4,2.7,359
Nagaland,NER,2020,310.9,2.16,1.8,2.6,144
Odisha,ER,2019,28966.6,80.69,51.1,109.6,359
Odisha,ER,2020,11507.1,79.91,60.4,113.0,144
Pondy,SR,2019,2653.3,7.39,4.0,9.7,359
Pondy,SR,2020,1105.6,7.68,4.4,9.5,144
Punjab,NR,2019,49635.7,138.26,56.1,286.0,359
Punjab,NR,2020,21360.5,148.34,69.5,300.0,144
Rajasthan,NR,2019,78138.8,217.66,105.8,278.0,359
Rajasthan,NR,2020,31738.2,220.4,146.2,275.2,144
Sikkim,ER,2019,466.4,1.3,0.5,2.8,359
Sikkim,ER,2020,182.2,1.27,0.3,2.1,144
Tamil Nadu,SR,2019,106720.2,297.27,195.7,365.3,359
Tamil Nadu,SR,2020,44551.3,309.38,207.8,365.4,144
Telangana,SR,2019,67449.6,187.88,130.5,256.2,359
Telangana,SR,2020,26615.7,184.83,141.8,254.1,144
Tripura,NER,2019,1482.5,4.13,2.4,6.6,359
Tripura,NER,2020,572.5,3.98,1.4,5.6,144
UP,NR,2019,112689.9,313.9,186.8,469.0,359
UP,NR,2020,45270.4,314.38,205.3,471.8,144
Uttarakhand,NR,2019,12898.6,35.93,16.8,53.2,359
Uttarakhand,NR,2020,5288.4,36.72,18.4,48.5,144
West Bengal,ER,2019,49868.7,138.91,51.5,198.1,359
West Bengal,ER,2020,19901.5,138.2,91.1,198.5,144
